date,vehicle_category,maker,electric_vehicles_sold
2021-04-01,2-Wheelers,OLA ELECTRIC,0.0
2022-04-01,2-Wheelers,OKAYA EV,
2021-05-01,2-Wheelers,OLA ELECTRIC,0.0
2021-06-01,2-Wheelers,OLA ELECTRIC,0.0
2021-07-01,2-Wheelers,OLA ELECTRIC,0.0
2021-08-01,2-Wheelers,OLA ELECTRIC,0.0
2021-09-01,2-Wheelers,Olaelectric,0.0
2021-10-01,2-Wheelers,OLA ELECTRIC,0.0
2021-11-01,2-Wheelers,OLA ELECTRIC,0.0
2021-04-01,4-Wheelers,BYD INDIA,0.0
2021-04-01,4-Wheelers,PCA AUTOMOBILES,0.0
2021-04-01,4-Wheelers,BMW India,0.0
2021-04-01,4-Wheelers,Volvo Auto India,0.0
2021-04-01,4-Wheelers,KIA Motors,0.0
2022-04-01,4-Wheelers,PCA Automobiles,0.0
2022-04-01,4-Wheelers,Volvo Auto India,0.0
2022-04-01,4-Wheelers,KIA MOTORS,0.0
2021-05-01,4-Wheelers,BYD India,0.0
2021-05-01,4-Wheelers,PCA Automobiles,0.0
2021-05-01,4-Wheelers,Bmwindia,0.0
2021-05-01,4-Wheelers,MERCEDES -BENZ AG,0.0
2021-05-01,4-Wheelers,Volvo Auto India,0.0
2021-05-01,4-Wheelers,KIA Motors,0.0
2022-05-01,4-Wheelers,PCA AUTOMOBILES,0.0
2022-05-01,4-Wheelers,Volvo Auto India,0.0
2022-05-01,4-Wheelers,KIA Motors,0.0
2021-06-01,4-Wheelers,BYD India,0.0
2021-06-01,4-Wheelers,PCA Automobiles,0.0
2021-06-01,4-Wheelers,BMW India,0.0
2021-06-01,4-Wheelers,Volvo Auto India,0.0
2021-06-01,4-Wheelers,KIA Motors,0.0
2022-06-01,4-Wheelers,PCA Automobiles,0.0
2022-06-01,4-Wheelers,Volvoautoindia,0.0
2022-06-01,4-Wheelers,KIA MOTORS,0.0
2021-07-01,4-Wheelers,BYD India,0.0
2021-07-01,4-Wheelers,Pcaautomobiles,0.0
2021-07-01,4-Wheelers,BMW India,0.0
2021-07-01,4-Wheelers,Volvo Auto India,0.0
2021-07-01,4-Wheelers,Kiamotors,0.0
2022-07-01,4-Wheelers,PCA Automobiles,0.0
2022-07-01,4-Wheelers,Volvo Auto India,0.0
2022-07-01,4-Wheelers,KIA Motors,0.0
2021-08-01,4-Wheelers,BYD India,0.0
2021-08-01,4-Wheelers,Pcaautomobiles,0.0
2021-08-01,4-Wheelers,BMW INDIA,0.0
2021-08-01,4-Wheelers,Volvo Auto India,0.0
2021-08-01,4-Wheelers,KIA MOTORS,0.0
2022-08-01,4-Wheelers,PCA Automobiles,0.0
2022-08-01,4-Wheelers,Volvo Auto India,0.0
2022-08-01,4-Wheelers,KIA Motors,0.0
2021-09-01,4-Wheelers,BYD India,0.0
2021-09-01,4-Wheelers,PCA Automobiles,0.0
2021-09-01,4-Wheelers,BMW INDIA,0.0
2021-09-01,4-Wheelers,Volvo Auto India,0.0
2021-09-01,4-Wheelers,KIA Motors,0.0
2022-09-01,4-Wheelers,Pcaautomobiles,0.0
2022-09-01,4-Wheelers,Volvoautoindia,0.0
2022-09-01,4-Wheelers,KIA MOTORS,0.0
2021-10-01,4-Wheelers,BYD India,0.0
2021-10-01,4-Wheelers,PCA Automobiles,0.0
2021-10-01,4-Wheelers,BMW India,0.0
2021-10-01,4-Wheelers,Volvo Auto India,0.0
2021-10-01,4-Wheelers,KIA Motors,0.0
2022-10-01,4-Wheelers,PCA Automobiles,0.0
2022-10-01,4-Wheelers,Volvo Auto India,0.0
2021-11-01,4-Wheelers,BYD India,0.0
2021-11-01,4-Wheelers,PCA AUTOMOBILES,0.0
2021-11-01,4-Wheelers,BMW India,0.0
2021-11-01,4-Wheelers,Volvo Auto India,0.0
2021-11-01,4-Wheelers,KIA Motors,0.0
2022-11-01,4-Wheelers,PCA Automobiles,0.0
2021-12-01,4-Wheelers,PCA Automobiles,0.0
2021-12-01,4-Wheelers,BMW India,0.0
2021-12-01,4-Wheelers,Volvoautoindia,0.0
2021-12-01,4-Wheelers,KIA Motors,0.0
2022-12-01,4-Wheelers,PCA AUTOMOBILES,0.0
2022-01-01,4-Wheelers,Pcaautomobiles,0.0
2022-01-01,4-Wheelers,Bmwindia,0.0
2022-01-01,4-Wheelers,Volvo Auto India,0.0
2022-01-01,4-Wheelers,KIA MOTORS,0.0
2023-01-01,4-Wheelers,PCA Automobiles,0.0
2022-02-01,4-Wheelers,PCA Automobiles,0.0
2022-02-01,4-Wheelers,BMW India,0.0
2022-02-01,4-Wheelers,Volvo Auto India,0.0
2022-02-01,4-Wheelers,KIA Motors,0.0
2023-02-01,4-Wheelers,PCA AUTOMOBILES,0.0
2022-03-01,4-Wheelers,PCA Automobiles,0.0
2022-03-01,4-Wheelers,KIA Motors,0.0
2021-04-01,4-Wheelers,Tata Motors,322.0
2021-04-01,4-Wheelers,MG Motor,118.0
2021-04-01,4-Wheelers,Mahindra & Mahindra,171.0
2021-04-01,4-Wheelers,HYUNDAI MOTOR,12.0
2021-04-01,4-Wheelers,Mercedes -Benz AG,3.0
2022-04-01,4-Wheelers,TATA MOTORS,1409.0
2022-04-01,4-Wheelers,MG Motor,177.0
2022-04-01,4-Wheelers,Mahindra & Mahindra,611.0
2022-04-01,4-Wheelers,BYD India,15.0
2022-04-01,4-Wheelers,Hyundai Motor,17.0
2022-04-01,4-Wheelers,BMW India,12.0
2022-04-01,4-Wheelers,Mercedes -Benz AG,8.0
2023-04-01,4-Wheelers,Tata Motors,364.0
2023-04-01,4-Wheelers,MG Motor,265.0
2023-04-01,4-Wheelers,Mahindra & Mahindra,4880.0
2023-04-01,4-Wheelers,Bydindia,156.0
2023-04-01,4-Wheelers,Hyundaimotor,42.0
2023-04-01,4-Wheelers,Pcaautomobiles,181.0
2023-04-01,4-Wheelers,BMW India,51.0
2023-04-01,4-Wheelers,Mercedes-benzag,8.0
2023-04-01,4-Wheelers,Volvo Auto India,27.0
2023-04-01,4-Wheelers,KIA Motors,30.0
2021-05-01,4-Wheelers,Tata Motors,137.0
2021-05-01,4-Wheelers,MG MOTOR,39.0
2021-05-01,4-Wheelers,Mahindra & Mahindra,78.0
2021-05-01,4-Wheelers,HYUNDAI MOTOR,3.0
2022-05-01,4-Wheelers,Tata Motors,2097.0
2022-05-01,4-Wheelers,MG Motor,181.0
2022-05-01,4-Wheelers,Mahindra & Mahindra,622.0
2022-05-01,4-Wheelers,BYD India,
2022-05-01,4-Wheelers,Hyundai Motor,19.0
2022-05-01,4-Wheelers,BMW INDIA,6.0
2022-05-01,4-Wheelers,Mercedes -Benz AG,4.0
2023-05-01,4-Wheelers,Tatamotors,3212.0
2023-05-01,4-Wheelers,Mgmotor,351.0
2023-05-01,4-Wheelers,Mahindra&mahindra,3457.0
2023-05-01,4-Wheelers,BYD India,110.0
2023-05-01,4-Wheelers,Hyundai Motor,129.0
2023-05-01,4-Wheelers,PCA Automobiles,245.0
2023-05-01,4-Wheelers,BMW India,-100.0
2023-05-01,4-Wheelers,MERCEDES -BENZ AG,
2023-05-01,4-Wheelers,Volvo Auto India,34.0
2023-05-01,4-Wheelers,KIA Motors,-100.0
2021-06-01,4-Wheelers,Tata Motors,572.0
2021-06-01,4-Wheelers,MG Motor,128.0
2021-06-01,4-Wheelers,Mahindra&mahindra,106.0
2021-06-01,4-Wheelers,Hyundai Motor,10.0
2021-06-01,4-Wheelers,Mercedes-benzag,2.0
2022-06-01,4-Wheelers,Tatamotors,2169.0
2022-06-01,4-Wheelers,MG MOTOR,173.0
2022-06-01,4-Wheelers,Mahindra & Mahindra,787.0
2022-06-01,4-Wheelers,BYD India,36.0
2022-06-01,4-Wheelers,Hyundai Motor,39.0
2022-06-01,4-Wheelers,BMW India,4.0
2022-06-01,4-Wheelers,Mercedes -Benz AG,2.0
2023-06-01,4-Wheelers,Tata Motors,3671.0
2023-06-01,4-Wheelers,MG Motor,877.0
2023-06-01,4-Wheelers,Mahindra & Mahindra,2574.0
2023-06-01,4-Wheelers,BYD India,140.0
2023-06-01,4-Wheelers,Hyundai Motor,121.0
2023-06-01,4-Wheelers,PCA Automobiles,254.0
2023-06-01,4-Wheelers,BMW India,76.0
2023-06-01,4-Wheelers,Mercedes -Benz AG,14.0
2023-06-01,4-Wheelers,Volvoautoindia,33.0
2023-06-01,4-Wheelers,KIA Motors,30.0
2021-07-01,4-Wheelers,Tata Motors,696.0
2021-07-01,4-Wheelers,MG Motor,232.0
2021-07-01,4-Wheelers,Mahindra & Mahindra,171.0
2021-07-01,4-Wheelers,Hyundai Motor,18.0
2021-07-01,4-Wheelers,Mercedes -Benz AG,1.0
2022-07-01,4-Wheelers,Tata Motors,2264.0
2022-07-01,4-Wheelers,MG MOTOR,194.0
2022-07-01,4-Wheelers,Mahindra & Mahindra,866.0
2022-07-01,4-Wheelers,BYD India,32.0
2022-07-01,4-Wheelers,Hyundai Motor,45.0
2022-07-01,4-Wheelers,BMW India,4.0
2022-07-01,4-Wheelers,Mercedes -Benz AG,1.0
2023-07-01,4-Wheelers,Tata Motors,3823.0
2023-07-01,4-Wheelers,Mgmotor,
2023-07-01,4-Wheelers,Mahindra&mahindra,2174.0
2023-07-01,4-Wheelers,BYD India,89.0
2023-07-01,4-Wheelers,HYUNDAI MOTOR,88.0
2023-07-01,4-Wheelers,PCA Automobiles,169.0
2023-07-01,4-Wheelers,BMW India,81.0
2023-07-01,4-Wheelers,Mercedes -Benz AG,-100.0
2023-07-01,4-Wheelers,Volvo Auto India,26.0
2023-07-01,4-Wheelers,KIA Motors,22.0
2021-08-01,4-Wheelers,Tata Motors,584.0
2021-08-01,4-Wheelers,MG Motor,303.0
2021-08-01,4-Wheelers,Mahindra & Mahindra,204.0
2021-08-01,4-Wheelers,HYUNDAI MOTOR,10.0
2021-08-01,4-Wheelers,Mercedes -Benz AG,2.0
2022-08-01,4-Wheelers,Tata Motors,1931.0
2022-08-01,4-Wheelers,MG Motor,234.0
2022-08-01,4-Wheelers,Mahindra & Mahindra,1085.0
2022-08-01,4-Wheelers,BYD India,33.0
2022-08-01,4-Wheelers,Hyundai Motor,53.0
2022-08-01,4-Wheelers,BMW India,19.0
2022-08-01,4-Wheelers,Mercedes-benzag,3.0
2023-08-01,4-Wheelers,Tata Motors,3388.0
2023-08-01,4-Wheelers,MG Motor,913.0
2023-08-01,4-Wheelers,MAHINDRA & MAHINDRA,2013.0
2023-08-01,4-Wheelers,BYD India,80.0
2023-08-01,4-Wheelers,Hyundai Motor,141.0
2023-08-01,4-Wheelers,Pcaautomobiles,89.0
2023-08-01,4-Wheelers,BMW India,64.0
2023-08-01,4-Wheelers,Mercedes-benzag,8.0
2023-08-01,4-Wheelers,Volvo Auto India,36.0
2023-08-01,4-Wheelers,KIA Motors,21.0
2021-09-01,4-Wheelers,Tata Motors,772.0
2021-09-01,4-Wheelers,MG MOTOR,263.0
2021-09-01,4-Wheelers,Mahindra & Mahindra,276.0
2021-09-01,4-Wheelers,Hyundai Motor,6.0
2021-09-01,4-Wheelers,Mercedes -Benz AG,2.0
2022-09-01,4-Wheelers,Tata Motors,1997.0
2022-09-01,4-Wheelers,Mgmotor,207.0
2022-09-01,4-Wheelers,MAHINDRA & MAHINDRA,1213.0
2022-09-01,4-Wheelers,Bydindia,48.0
2022-09-01,4-Wheelers,HYUNDAI MOTOR,57.0
2022-09-01,4-Wheelers,BMW India,21.0
2022-09-01,4-Wheelers,MERCEDES -BENZ AG,3.0
2023-09-01,4-Wheelers,Tata Motors,3126.0
2023-09-01,4-Wheelers,MG Motor,676.0
2023-09-01,4-Wheelers,Mahindra & Mahindra,1668.0
2023-09-01,4-Wheelers,BYD INDIA,
2023-09-01,4-Wheelers,Hyundai Motor,161.0
2023-09-01,4-Wheelers,PCA Automobiles,108.0
2023-09-01,4-Wheelers,Bmwindia,58.0
2023-09-01,4-Wheelers,MERCEDES -BENZ AG,41.0
2023-09-01,4-Wheelers,Volvo Auto India,42.0
2023-09-01,4-Wheelers,KIA MOTORS,26.0
2021-10-01,4-Wheelers,Tata Motors,803.0
2021-10-01,4-Wheelers,Mgmotor,194.0
2021-10-01,4-Wheelers,Mahindra & Mahindra,369.0
2021-10-01,4-Wheelers,Hyundai Motor,8.0
2021-10-01,4-Wheelers,Mercedes -Benz AG,3.0
2022-10-01,4-Wheelers,Tata Motors,2395.0
2022-10-01,4-Wheelers,Mgmotor,338.0
2022-10-01,4-Wheelers,Mahindra & Mahindra,1051.0
2022-10-01,4-Wheelers,BYD INDIA,27.0
2022-10-01,4-Wheelers,Hyundai Motor,64.0
2022-10-01,4-Wheelers,BMW India,4.0
2022-10-01,4-Wheelers,Mercedes -Benz AG,4.0
2022-10-01,4-Wheelers,KIA Motors,29.0
2023-10-01,4-Wheelers,Tata Motors,3911.0
2023-10-01,4-Wheelers,Mgmotor,714.0
2023-10-01,4-Wheelers,Mahindra & Mahindra,2027.0
2023-10-01,4-Wheelers,BYD India,109.0
2023-10-01,4-Wheelers,Hyundai Motor,148.0
2023-10-01,4-Wheelers,PCA AUTOMOBILES,132.0
2023-10-01,4-Wheelers,BMW India,-100.0
2023-10-01,4-Wheelers,Mercedes -Benz AG,18.0
2023-10-01,4-Wheelers,Volvo Auto India,41.0
2023-10-01,4-Wheelers,KIA Motors,39.0
2021-11-01,4-Wheelers,Tata Motors,1036.0
2021-11-01,4-Wheelers,MG Motor,118.0
2021-11-01,4-Wheelers,Mahindra & Mahindra,462.0
2021-11-01,4-Wheelers,Hyundai Motor,7.0
2021-11-01,4-Wheelers,Mercedes -Benz AG,2.0
2022-11-01,4-Wheelers,Tata Motors,2264.0
2022-11-01,4-Wheelers,MG MOTOR,
2022-11-01,4-Wheelers,Mahindra & Mahindra,1067.0
2022-11-01,4-Wheelers,BYD India,39.0
2022-11-01,4-Wheelers,Hyundai Motor,
2022-11-01,4-Wheelers,BMW India,14.0
2022-11-01,4-Wheelers,Mercedes-benzag,4.0
2022-11-01,4-Wheelers,Volvo Auto India,5.0
2022-11-01,4-Wheelers,KIA Motors,61.0
2023-11-01,4-Wheelers,Tata Motors,4432.0
2023-11-01,4-Wheelers,MG Motor,723.0
2023-11-01,4-Wheelers,Mahindra & Mahindra,1222.0
2023-11-01,4-Wheelers,BYD India,106.0
2023-11-01,4-Wheelers,Hyundai Motor,125.0
2023-11-01,4-Wheelers,PCA Automobiles,98.0
2023-11-01,4-Wheelers,BMW INDIA,215.0
2023-11-01,4-Wheelers,Mercedes -Benz AG,35.0
2023-11-01,4-Wheelers,Volvo Auto India,57.0
2023-11-01,4-Wheelers,KIA MOTORS,29.0
2021-12-01,4-Wheelers,Tata Motors,1952.0
2021-12-01,4-Wheelers,MG Motor,99.0
2021-12-01,4-Wheelers,Mahindra & Mahindra,552.0
2021-12-01,4-Wheelers,BYD India,1.0
2021-12-01,4-Wheelers,Hyundai Motor,10.0
2021-12-01,4-Wheelers,Mercedes-benzag,1.0
2022-12-01,4-Wheelers,Tata Motors,1992.0
2022-12-01,4-Wheelers,MG Motor,363.0
2022-12-01,4-Wheelers,Mahindra & Mahindra,1260.0
2022-12-01,4-Wheelers,Bydindia,37.0
2022-12-01,4-Wheelers,Hyundai Motor,68.0
2022-12-01,4-Wheelers,BMW INDIA,27.0
2022-12-01,4-Wheelers,Mercedes -Benz AG,6.0
2022-12-01,4-Wheelers,Volvo Auto India,16.0
2022-12-01,4-Wheelers,KIA MOTORS,
2023-12-01,4-Wheelers,Tatamotors,4893.0
2023-12-01,4-Wheelers,MG Motor,753.0
2023-12-01,4-Wheelers,Mahindra & Mahindra,1015.0
2023-12-01,4-Wheelers,BYD INDIA,135.0
2023-12-01,4-Wheelers,Hyundai Motor,97.0
2023-12-01,4-Wheelers,PCA Automobiles,40.0
2023-12-01,4-Wheelers,BMW INDIA,137.0
2023-12-01,4-Wheelers,Mercedes -Benz AG,51.0
2023-12-01,4-Wheelers,Volvo Auto India,47.0
2023-12-01,4-Wheelers,KIA Motors,23.0
2022-01-01,4-Wheelers,Tata Motors,1012.0
2022-01-01,4-Wheelers,MG Motor,48.0
2022-01-01,4-Wheelers,MAHINDRA & MAHINDRA,474.0
2022-01-01,4-Wheelers,BYD India,8.0
2022-01-01,4-Wheelers,Hyundai Motor,
2022-01-01,4-Wheelers,Mercedes-benzag,2.0
2023-01-01,4-Wheelers,Tatamotors,1812.0
2023-01-01,4-Wheelers,MG Motor,313.0
2023-01-01,4-Wheelers,Mahindra & Mahindra,967.0
2023-01-01,4-Wheelers,BYD INDIA,101.0
2023-01-01,4-Wheelers,Hyundai Motor,84.0
2023-01-01,4-Wheelers,BMW India,91.0
2023-01-01,4-Wheelers,MERCEDES -BENZ AG,14.0
2023-01-01,4-Wheelers,Volvo Auto India,21.0
2023-01-01,4-Wheelers,KIA MOTORS,35.0
2024-01-01,4-Wheelers,Tata Motors,5674.0
2024-01-01,4-Wheelers,MG Motor,908.0
2024-01-01,4-Wheelers,Mahindra & Mahindra,896.0
2024-01-01,4-Wheelers,BYD India,123.0
2024-01-01,4-Wheelers,Hyundai Motor,128.0
2024-01-01,4-Wheelers,PCA AUTOMOBILES,23.0
2024-01-01,4-Wheelers,BMW India,-100.0
2024-01-01,4-Wheelers,Mercedes -Benz AG,29.0
2024-01-01,4-Wheelers,Volvo Auto India,42.0
2024-01-01,4-Wheelers,Kiamotors,29.0
2022-02-01,4-Wheelers,TATA MOTORS,1922.0
2022-02-01,4-Wheelers,MG Motor,30.0
2022-02-01,4-Wheelers,Mahindra & Mahindra,478.0
2022-02-01,4-Wheelers,BYD India,10.0
2022-02-01,4-Wheelers,Hyundai Motor,6.0
2022-02-01,4-Wheelers,Mercedes -Benz AG,3.0
2023-02-01,4-Wheelers,Tatamotors,2651.0
2023-02-01,4-Wheelers,MG Motor,261.0
2023-02-01,4-Wheelers,Mahindra & Mahindra,1531.0
2023-02-01,4-Wheelers,BYD India,174.0
2023-02-01,4-Wheelers,HYUNDAI MOTOR,36.0
2023-02-01,4-Wheelers,BMW India,43.0
2023-02-01,4-Wheelers,Mercedes -Benz AG,12.0
2023-02-01,4-Wheelers,Volvo Auto India,26.0
2023-02-01,4-Wheelers,KIA MOTORS,22.0
2024-02-01,4-Wheelers,Tatamotors,5081.0
2024-02-01,4-Wheelers,MG Motor,829.0
2024-02-01,4-Wheelers,Mahindra&mahindra,712.0
2024-02-01,4-Wheelers,BYD India,135.0
2024-02-01,4-Wheelers,Hyundai Motor,94.0
2024-02-01,4-Wheelers,PCA Automobiles,64.0
2024-02-01,4-Wheelers,BMW India,97.0
2024-02-01,4-Wheelers,MERCEDES -BENZ AG,24.0
2024-02-01,4-Wheelers,Volvoautoindia,35.0
2024-02-01,4-Wheelers,Kiamotors,17.0
2022-03-01,4-Wheelers,Tata Motors,2900.0
2022-03-01,4-Wheelers,MG Motor,75.0
2022-03-01,4-Wheelers,MAHINDRA & MAHINDRA,701.0
2022-03-01,4-Wheelers,BYD India,14.0
2022-03-01,4-Wheelers,HYUNDAI MOTOR,14.0
2022-03-01,4-Wheelers,BMW India,7.0
2022-03-01,4-Wheelers,Mercedes-benzag,5.0
2022-03-01,4-Wheelers,Volvo Auto India,4.0
2023-03-01,4-Wheelers,TATA MOTORS,5065.0
2023-03-01,4-Wheelers,MG Motor,372.0
2023-03-01,4-Wheelers,Mahindra & Mahindra,2745.0
2023-03-01,4-Wheelers,BYD India,348.0
2023-03-01,4-Wheelers,Hyundai Motor,35.0
2023-03-01,4-Wheelers,PCA Automobiles,151.0
2023-03-01,4-Wheelers,BMW India,40.0
2023-03-01,4-Wheelers,Mercedes -Benz AG,10.0
2023-03-01,4-Wheelers,Volvoautoindia,37.0
2023-03-01,4-Wheelers,KIA Motors,17.0
2024-03-01,4-Wheelers,TATA MOTORS,6606.0
2024-03-01,4-Wheelers,MG MOTOR,885.0
2024-03-01,4-Wheelers,Mahindra & Mahindra,-100.0
2024-03-01,4-Wheelers,BYD India,142.0
2024-03-01,4-Wheelers,Hyundai Motor,116.0
2024-03-01,4-Wheelers,PCA Automobiles,130.0
2024-03-01,4-Wheelers,BMW India,55.0
2024-03-01,4-Wheelers,MERCEDES -BENZ AG,31.0
2024-03-01,4-Wheelers,Volvo Auto India,39.0
2024-03-01,4-Wheelers,KIA Motors,26.0
2021-04-01,2-Wheelers,HERO ELECTRIC,759.0
2021-04-01,2-Wheelers,OKINAWA,1251.0
2021-04-01,2-Wheelers,AMPERE,-100.0
2021-04-01,2-Wheelers,Ather,903.0
2021-04-01,2-Wheelers,PURE EV,581.0
2021-04-01,2-Wheelers,TVS,302.0
2021-04-01,2-Wheelers,REVOLT,138.0
2021-04-01,2-Wheelers,BAJAJ,48.0
2021-04-01,2-Wheelers,BEING,171.0
2021-04-01,2-Wheelers,JITENDRA,36.0
2021-04-01,2-Wheelers,OTHERS,749.0
2022-04-01,2-Wheelers,OLA ELECTRIC,13601.0
2022-04-01,2-Wheelers,OKINAWA,11341.0
2022-04-01,2-Wheelers,HERO ELECTRIC,6803.0
2022-04-01,2-Wheelers,AMPERE,6864.0
2022-04-01,2-Wheelers,TVS,1498.0
2022-04-01,2-Wheelers,ATHER,
2022-04-01,2-Wheelers,BAJAJ,1223.0
2022-04-01,2-Wheelers,REVOLT,1241.0
2022-04-01,2-Wheelers,PURE EV,1756.0
